application,window,seed,partition,level,cluster,training_mapped_level,count
SFTP,3,42,train,High,1,High,2396
SFTP,3,42,train,High,2,Medium,344
SFTP,3,42,validation,Low,0,Low,846
SFTP,3,42,validation,Low,1,High,157
SFTP,3,42,validation,Low,2,Medium,6
SFTP,3,42,validation,Medium,0,Low,670
SFTP,3,42,validation,Medium,1,High,167
SFTP,3,42,validation,Medium,2,Medium,88
SFTP,3,42,validation,High,0,Low,98
SFTP,3,42,validation,High,1,High,567
SFTP,3,42,validation,High,2,Medium,431
SFTP,3,84,train,Low,0,Low,2409
SFTP,3,84,train,Low,1,Medium,36
SFTP,3,84,train,Low,2,High,240
SFTP,3,84,train,Medium,0,Low,1572
SFTP,3,84,train,Medium,1,Medium,268
SFTP,3,84,train,Medium,2,High,390
SFTP,3,84,train,High,0,Low,531
SFTP,3,84,train,High,1,Medium,411
SFTP,3,84,train,High,2,High,2353
SFTP,3,84,validation,Low,0,Low,833
SFTP,3,84,validation,Low,1,Medium,8
SFTP,3,84,validation,Low,2,High,168
SFTP,3,84,validation,Medium,0,Low,664
SFTP,3,84,validation,Medium,1,Medium,83
SFTP,3,84,validation,Medium,2,High,178
SFTP,3,84,validation,High,0,Low,93
SFTP,3,84,validation,High,1,Medium,434
SFTP,3,84,validation,High,2,High,569
SFTP,3,123,train,Low,0,High,460
SFTP,3,123,train,Low,1,Medium,46
SFTP,3,123,train,Low,2,Low,2179
SFTP,3,123,train,Medium,0,High,633
SFTP,3,123,train,Medium,1,Medium,347
SFTP,3,123,train,Medium,2,Low,1250
SFTP,3,123,train,High,0,High,1756
SFTP,3,123,train,High,1,Medium,1244
SFTP,3,123,train,High,2,Low,295
SFTP,3,123,validation,Low,0,High,300
SFTP,3,123,validation,Low,1,Medium,42
SFTP,3,123,validation,Low,2,Low,667
SFTP,3,123,validation,Medium,0,High,255
SFTP,3,123,validation,Medium,1,Medium,146
SFTP,3,123,validation,Medium,2,Low,524
SFTP,3,123,validation,High,0,High,393
SFTP,3,123,validation,High,1,Medium,661
SFTP,3,123,validation,High,2,Low,42
SFTP,5,0,train,Low,0,Low,2349
SFTP,5,0,train,Low,1,Medium,39
SFTP,5,0,train,Low,2,High,297
SFTP,5,0,train,Medium,0,Low,1410
SFTP,5,0,train,Medium,1,Medium,329
SFTP,5,0,train,Medium,2,High,491
SFTP,5,0,train,High,0,Low,285
SFTP,5,0,train,High,1,Medium,1096
SFTP,5,0,train,High,2,High,1914
SFTP,5,0,validation,Low,0,Low,779
SFTP,5,0,validation,Low,1,Medium,30
SFTP,5,0,validation,Low,2,High,200
