application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,100,84,validation,High,0,Medium,928
HTTP,100,84,validation,High,1,Low,0
HTTP,100,84,validation,High,2,High,990
HTTP,100,123,train,Low,0,Low,7980
HTTP,100,123,train,Low,1,High,1247
HTTP,100,123,train,Low,2,Medium,822
HTTP,100,123,train,Medium,0,Low,3154
HTTP,100,123,train,Medium,1,High,3295
HTTP,100,123,train,Medium,2,Medium,939
HTTP,100,123,train,High,0,Low,1414
HTTP,100,123,train,High,1,High,3773
HTTP,100,123,train,High,2,Medium,766
HTTP,100,123,validation,Low,0,Low,3284
HTTP,100,123,validation,Low,1,High,0
HTTP,100,123,validation,Low,2,Medium,0
HTTP,100,123,validation,Medium,0,Low,407
HTTP,100,123,validation,Medium,1,High,1303
HTTP,100,123,validation,Medium,2,Medium,687
HTTP,100,123,validation,High,0,Low,52
